State,$,&,(,),*,+,",",-,.,/,;,<,=,>,[,],boolean,char,class,constructor,do,else,false,field,function,identifier,if,int,integerConstant,let,method,null,return,static,stringConstant,this,true,var,void,while,{,|,},~,ClassName,ClassVarDec,ClassVarDecList,DoStatement,ElsePart,Expression,ExpressionList,IfHeader,IfStatement,KeywordConstant,LetStatement,Operation,ParameterList,ReturnStatement,S,Statement,StatementsList,SubroutineBody,SubroutineCall,SubroutineDec,SubroutineDecList,SubroutineName,Term,Type,TypedVarNameList,UnaryOperation,UnaryOperationList,VarDeclaration,VarDeclarationList,VarName,VarNameList,WhileCondition,WhileHeader,WhileStatement
115,,,,,,,,,,,S147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,S124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,S83,,,,,,S74,,,S80,,,S71,,,,,,,S86,,,S148,,,,,72,,,,84,77,,70,,,82,,79,149,,,,,,,,,,,,,,,73,85,78
118,,,S97,,,,,S94,,,,,,,,,,,,,,,S105,,,S91,,,S92,,,S108,,,S100,S89,S104,,,,,,,S90,96,,,,,150,,,,102,,,,,,,,,106,,,107,95,,,103,99,,,93,,,,
119,,,,,,,,,,,,,,,,,,,,R31,,,,,R31,,,,,,R31,,,,,,,,,,,,R31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,R35,,,,,,R35,,,R35,,,R35,,,,,R35,,R35,,,R35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,S83,,,,,,S74,,,S80,,,S71,,,,,,,S86,,,S151,,,,,72,,,,84,77,,70,,,82,,111,,,,,,,,,,,,,,,,73,85,78
122,,,,R29,,,R29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,S97,,,,,S94,,,,,,,,,,,,,,,S105,,,S91,,,S92,,,S108,,,S100,S89,S104,,,,,,,S90,96,,,,,152,,,,102,,,,,,,,,106,,,107,95,,,103,99,,,93,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,S37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,
