State,&,(,),*,+,",",-,.,/,;,<,=,>,EOF,[,],boolean,char,class,constructor,do,else,false,field,function,identifier,if,int,integerConstant,let,method,null,return,static,stringConstant,this,true,var,void,while,{,|,},~,ClassName,ClassVarDec,ClassVarDecList,DoStatement,ElsePart,Expression,ExpressionList,IfHeader,IfStatement,KeywordConstant,LetStatement,Operation,ParameterList,ReturnStatement,ReturnType,S,Statement,StatementsList,SubroutineBody,SubroutineCall,SubroutineDec,SubroutineDecList,SubroutineName,Term,Type,TypedVarNameList,UnaryOperation,UnaryOperationList,VarDeclaration,VarDeclarationList,VarName,VarNameList,WhileHeader,WhileStatement
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S48,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,S35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,
45,,,,,,,,,,,,,,,,,,,,R10,,,,R10,R10,,,,,,R10,,,R10,,,,,,,,,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S48,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,R9,,,,R9,R9,,,,,,R9,,,R9,,,,,,,,,R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,S60,,,,,,S68,,,S67,,,S58,,,,,S59,,S73,,,S70,,,,,56,,,,66,57,,64,,,72,,,71,63,,,,,,,,,,,61,65,,,62,69
49,,,,,,,,,,,,,,,,,,,,R20,,,,,R20,,,,,,R20,,,,,,,,,,,,R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,S35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,
52,,,S76,,,S75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
